,Name,Description,URL,Papers,Discipline,Underlying Approach,Cost,Supports,Highest Citation Count,Website status
10,UNITEX,Assists automatic results identification.,http://www-igm.univ-mlv.fr/~unitex/index.php?page=0,"{'Automatic Results Identification in Software Engineering Papers. Is that possible?': {'url': 'http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6257618', 'ss_id': 'c9610053431185ab41caf57ef899c09f6b86f9d1', 'citation_count': 10}}",['Software Engineering'],['Text Mining'],"['Completely Free', 'Free Version Available']",['Data Extraction'],10.0,200
11,SEED,"SEED is an application that reads ReviewManager files, auto-generates some content from the Summary of Findings table and places it into wiki-markup. It aims at making the process of disseminating SR findings easier by providing the user with Wikipedia-friendly markup if they wish to add their findings to a Wikipedia page.",https://github.com/CochraneSchizophrenia/SEED/releases/tag/2019,"{'SEED: a tool for disseminating systematic review data into Wikipedia': {'url': 'https://systematicreviewsjournal.biomedcentral.com/articles/10.1186/s13643-017-0607-3', 'ss_id': 'ac53f00e6c7bcf1d5326300639fef0176c2a0944', 'citation_count': 7}}",['Healthcare'],"['Visualization', 'Other']",['Completely Free'],['Text Analysis'],7.0,200
12,PRISMA2020 flow diagrams,This tools is an R package (https://github.com/nealhaddaway/PRISMA2020) and shiny app (https://estech.shinyapps.io/prisma_flowdiagram/) for producing interactive flow diagrams consistent with the PRISMA 2020 reporting standards. Interactivity is supported in the R version through tooltips and hyperlinks. The shiny version requires no coding or R experience.,https://estech.shinyapps.io/prisma_flowdiagram/,{},['Multidiscipline'],"['Whole Process', 'Reference Management']",['Completely Free'],"['Report Write Up', 'Document Management']",,200
13,PredicTER,"PredicTER is a tool for estimating how long a systematic review will take to complete. The tool calculates the time requirements for various tasks involved in reviewing evidence, from planning and coordination to quantitative synthesis and reporting.",http://predicter.org/,{},['Multidiscipline'],"['Visualization', 'Whole Process', 'Other']",['Completely Free'],"['Protocol Development', 'Automated Analysis', 'Report Write Up', 'Collaboration']",,200
14,Publish or Perish,A software program that retrieves and analyzes academic citations from Google Scholar and Microsoft Academic Search.,http://www.harzing.com/resources/publish-or-perish,"{'Comparing the coverage, recall, and precision of searches for 120 systematic reviews in Embase, MEDLINE, and Google Scholar: a prospective study': {'url': 'http://systematicreviewsjournal.biomedcentral.com/articles/10.1186/s13643-016-0215-7', 'ss_id': '63016e5c9c992b744add1aca2842d3e734235c6e', 'citation_count': 65}}",['Multidiscipline'],"['Text Mining', 'Data Mining', 'Reference Management', 'Other']",['Completely Free'],"['Automated Analysis', 'Text Analysis', 'Document Management']",65.0,200
15,OutcomesApp,"An app to populate ""Outcomes"" section of ""Characteristics of included studies"" table in any ReviewManager file. After the reviewer entered all their data in the 'Results' section, they can use this app to automatically populate each study's characteristics table with its used outcomes. This can be used to either save time and avoid copy/paste mistakes by letting the app create the content of the 'Outcomes' cell, or, for double checking since the new content gets appended to the original content. The app gives a choice of modifying the original review or of creating a copy of the review. The source code is available on GitHub. The code provides a basis for batch-processing, altering, annotating and automatically moving data from any part of a review.",https://github.com/CochraneSchizophrenia/OutcomesApp/releases/tag/2019,{},['Healthcare'],"['Visualization', 'Text Mining', 'Data Mining']",['Completely Free'],['Report Write Up'],,200
16,Meta-Essentials,Free excel tool for meta-analysis that facilitates the integration and synthesis of effect sizes from different studies.,http://www.erim.eur.nl/research-support/meta-essentials/,"{'Introduction, comparison, and validation of Meta-Essentials: A free and simple tool for meta-analysis': {'url': 'http://onlinelibrary.wiley.com/doi/10.1002/jrsm.1260/epdf', 'ss_id': '5c022e954fb8d3e892d965e035be9dbb3c655ab6', 'citation_count': 230}}",['Multidiscipline'],['Other'],['Completely Free'],"['Automated Analysis', 'Meta Analysis']",230.0,200
17,CINeMA,CINeMA (Confidence in Network Meta-Analysis) is a web application that applies the Salanti approach to adapting the GRADE framework for network meta-analysis. Outputs a downloadable report with a summary of the evaluations.,http://cinema.ispm.ch/,"{'Assessing Confidence in the Results of Network Meta-Analysis (Cinema)': {'url': 'https://www.biorxiv.org/content/10.1101/597047v1', 'ss_id': '31741a64209ad95afd20aa7a202c0694e45b4667', 'citation_count': 30}}",['Healthcare'],['Visualization'],['Completely Free'],"['Automated Analysis', 'Report Write Up']",30.0,200
18,Systematic Review Accelerator,"The Systematic Review Accelerator (SRA) is free software developed at Bond University which includes a validated deduplication tool for faster deduplication of search results, a word frequency analyser to help with search strategy development, a search translator to speed up translation of searches from PubMed/Ovid MEDLINE to other major databases, and a hotkey tool to make screening articles in EndNote easier.",https://sr-accelerator.com/,"{'A full systematic review was completed in 2 weeks using automation tools: a case study': {'url': 'https://pubmed.ncbi.nlm.nih.gov/32004673/', 'ss_id': '031fa3822c285f5776acdbd9bdfe754a7b7b2ab3', 'citation_count': 36}}",['Healthcare'],"['Text Mining', 'Search Tool', 'Reference Management']",['Completely Free'],"['Protocol Development', 'Automated Search', 'Study Selection', 'Text Analysis', 'Collaboration', 'Document Management']",36.0,200
19,Quertle,"A search engine for biomedical literature, which uses semantic-driven text analytics to find conceptual relationships between search terms, aiming to provide a concise and relevant list of search results.",https://www.quetzal-search.info/,{},['Healthcare'],"['Text Mining', 'Search Tool']",['Free Version Available'],"['Automated Search', 'Text Analysis']",,406
20,Pybliographer,Reference management tool for managing bibliographic databases.,https://pybliographer.org/,{},['Multidiscipline'],['Reference Management'],"['Completely Free', 'Free Version Available']",['Document Management'],,200
21,Buhos,"A web-based systematic literature software that supplies the necessary functionalities for managing the complete literature review process, covering the stages of searching, screening, data extraction and reporting for social sciences.",https://github.com/clbustos/buhos,"{'Buhos: A web-based systematic literature review management software': {'url': 'https://www.sciencedirect.com/science/article/pii/S2352711018300293?via%3Dihub', 'ss_id': 'b18e6a5fe51e81a5e41c212e726efce658eae4a6', 'citation_count': 5}}",['Social Science'],['Reference Management'],['Completely Free'],"['Protocol Development', 'Automated Search', 'Study Selection', 'Quality Assessment', 'Data Extraction', 'Text Analysis', 'Meta Analysis', 'Report Write Up', 'Collaboration', 'Document Management']",5.0,200
22,Disputatron,"The Disputatron is a tool designed to automatically detect screening disagreements between reviewers of a systematic review, who screened in EndNote.",https://sr-accelerator.com/#/disputatron,{},['Healthcare'],['Reference Management'],['Completely Free'],['Study Selection'],,200
23,Meta-CART,"Meta-CART is a tool to identify interactions between moderators in meta-analysis.  It is an approach that applies classification and regression trees (CART) to identify interactions, and then subgroup meta-analysis to test the significance of moderator effects.",https://cran.r-project.org/web/packages/metacart/index.html,"{'Meta-CART: A tool to identify interactions between moderators in meta-analysis': {'url': 'https://onlinelibrary.wiley.com/doi/abs/10.1111/bmsp.12088', 'ss_id': '18956cdbd9b2cde8c97c3a06937f277cabc7ce09', 'citation_count': 13}, 'A flexible approach to identify interaction effects between moderators in meta-analysis': {'url': 'https://onlinelibrary.wiley.com/doi/epdf/10.1002/jrsm.1334', 'ss_id': 'a4d6ffeb164172941fb9107584f048abb0d39f1d', 'citation_count': 3}}",['Healthcare'],['Other'],['Completely Free'],['Meta Analysis'],13.0,200
24,COVID-NMA,"A living mapping and living systematic review of Covid-19 trials. The developers of COVID-NMA performed a living mapping of RCTs registered in the WHO International Clinical Trials Registry Platform, systematically searching the platform every week for all RCTs evaluating preventive interventions and treatments for COVID-19. With this data, they created a publicly available interactive mapping tool to visualize all trials COVID-19 registered.  The tool may be useful for researchers conducting reviews in COVID-19.",https://covid-nma.com/,"{'Research response to coronavirus disease 2019 needed better coordination and collaboration: a living mapping of registered trials': {'url': 'https://www.sciencedirect.com/science/article/pii/S0895435620311495', 'ss_id': 'f11e9af7ee228b3c4863f5a78c77f28844e17dca', 'citation_count': 6}}",['Healthcare'],['Visualization'],['Completely Free'],"['Protocol Development', 'Automated Search', 'Automated Analysis']",6.0,200
25,citationchaser,"citation chaser is an R package (https://github.com/nealhaddaway/citationchaser) which functions to automate this process by making use of the Lens.org API. An input article list can be used to return a list of all referenced records, and/or all citing records in the Lens.org database (consisting of PubMed, PubMed Central, CrossRef, Microsoft Academic Graph and CORE; 'https://www.lens.org').",https://github.com/nealhaddaway/citationchaser,{},['Multidiscipline'],['Search Tool'],['Completely Free'],['Automated Search'],,200
26,KGen: a knowledge graph generator from biomedical scientific literature,"KGen is a semi-automatic knowledge graph (KGs) generator that analyses natural language texts from scientific literature using Natural Language Processing (NLP) techniques, with the aim of extracting and representing scientific literature knowledge encoded in KGs. The method links entities and relations represented in KGs to concepts from existing biomedical ontologies available on the Web.  KGen is a semi-automatic method, in which a human (with specific domain expertise) may interfere with the process when required, ensuring the generation of suitable graphs.",https://github.com/rossanez/kgen,"{'KGen: a knowledge graph generator from biomedical scientific literature': {'url': 'https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-020-01341-5', 'ss_id': '2f8af49a81e4daaf299f23f630c591011e9a0158', 'citation_count': 1}}",['Healthcare'],['Visual Text Mining'],['Completely Free'],"['Data Extraction', 'Automated Analysis', 'Text Analysis', 'Report Write Up']",1.0,200
27,word2vec,The word2vec tool takes a text corpus as input and produces the word vectors as output. It first constructs a vocabulary from the training text data and then learns vector representation of words. The resulting word vector file can be used as features in many natural language processing and machine learning applications.,https://github.com/tmikolov/word2vec,"{'Advances in Pre-Training Distributed Word Representations': {'url': 'https://arxiv.org/pdf/1712.09405.pdf', 'ss_id': '95b3d6b9d50bfd4b0a77a096269762b28e218346', 'citation_count': 679}}",['Multidiscipline'],"['Text Mining', 'Machine Learning']",['Completely Free'],['Text Analysis'],679.0,200
28,PICO Portal,"PICO Portal is a web-based tool for citation screening, full text review, data extraction and quality assessment that facilitates an efficient systematic review. PICO Portal aspires to combine the strengths of a modern user interface and cutting-edge machine learning functionality. It offers a highly accurate deduplication that was benchmarked against published papers.",https://picoportal.org/,{},['Healthcare'],"['Visualization', 'Visual Text Mining', 'Search Tool', 'Machine Learning', 'Visual Data Mining']",['Completely Free'],"['Study Selection', 'Quality Assessment', 'Data Extraction', 'Text Analysis', 'Collaboration']",,406
29,"Scolr (Support for Collaborative, Open, Literature Reviews)","Scolr supports collaboration in the process of conducting open, literature reviews.",http://scolr.cientopolis.org/,{},['Multidiscipline'],['Whole Process'],['Completely Free'],['Document Management'],,200
30,Medline Transpose,MEDLINE Transpose was developed to mitigate a common problem among information specialists: converting search syntax between PubMed and Ovid MEDLINE interfaces.,https://medlinetranspose.github.io/index.html,"{'Design and implementation of a tool for conversion of search strategies between PubMed and Ovid MEDLINE': {'url': 'https://onlinelibrary.wiley.com/doi/10.1002/jrsm.1314', 'ss_id': '44c1ec11ed5242c1111cea7bc705813afcfbf2b3', 'citation_count': 3}}",['Healthcare'],"['Text Mining', 'Search Tool']",['Completely Free'],"['Automated Search', 'Text Analysis']",3.0,200
31,MontyLingua,An information (textual) extraction tool.,http://web.media.mit.edu/~hugo/montylingua/,"{'Reconstruction of Protein-Protein Interaction Pathways by Mining Subject-Verb-Objects Intermediates': {'url': 'http://link.springer.com/chapter/10.1007/978-3-540-75286-8_28', 'ss_id': 'ce431b8eb3c51c7781a3f44a81191860668283c0', 'citation_count': 7}}",['Multidiscipline'],['Text Mining'],"['Completely Free', 'Free Version Available']","['Data Extraction', 'Automated Analysis', 'Text Analysis']",7.0,200
32,RefDB,"A reference database and bibliography tool for SGML, XML and LaTeX/BibTeX documents.",http://refdb.sourceforge.net/index.html,{},['Multidiscipline'],['Reference Management'],"['Completely Free', 'Free Version Available']",['Document Management'],,200
33,EviAtlas,"EviAtlas is a tool for visualising evidence bases from within systematic reviews and maps, focused around descriptive plots, heat maps (cross tabulations of categorical variables) and evidence atlases (spatially explicit maps of evidence). It's an Open Source tool that aims to build capacity for complex visualisations by providing R code so that intermediate R users can further adapt their visualisations. Users can also download interactive HTML webpages of the evidence atlas for hosting on their own websites, allowing users to interact with the evidence online.",https://estech.shinyapps.io/eviatlas/,"{'EviAtlas: a tool for visualising evidence synthesis databases': {'url': 'https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-019-0167-1', 'ss_id': '129e8f9eb1d8c4c03da71256f230f7a159705c54', 'citation_count': 20}}",['Multidiscipline'],['Visualization'],['Completely Free'],"['Protocol Development', 'Report Write Up']",20.0,202
34,Sebzer,"eLIBRARY.RU (Russian Science Citation Index) is a Russian PubMed-MEDLINE-like but with a broader coverage free-to-use national bibliographic database. Unfortunately, no citation export tools are available, which are crucial in the systematic review process. The Sebzer Tampermonkey script provides citation export support for eLIBRARY.RU. The tool is in beta, only batch BibTeX export is supported yet. Available and maintained on GitHub under GPL 3.0 at https://github.com/p1m-ortho/xs-sebzer.",https://github.com/p1m-ortho/xs-sebzer,{},['Multidiscipline'],"['Search Tool', 'Reference Management']",['Completely Free'],['Automated Search'],,200
35,REviewER,A search and study selection tool to support systematic reviews in software engineering.,https://sites.google.com/site/eseportal/tools/reviewer,{},['Software Engineering'],"['Visualization', 'Search Tool']",['Completely Free'],"['Automated Search', 'Study Selection']",,200
36,SLR-Tool,A freely-available tool to support each stage of the SR process in software engineering.,https://www.slr-tool.com/Identity/Account/Login?ReturnUrl=%2F,"{'SLR-Tool: A Tool for Performing Systematic Literature Reviews': {'url': 'http://www.researchgate.net/publication/220738346_SLR-Tool_-_A_Tool_for_Performing_Systematic_Literature_Reviews', 'ss_id': 'd3c1d9d5f31e0a3beaeff5cfaa9079de87f301e5', 'citation_count': 45}}",['Software Engineering'],['Whole Process'],"['Completely Free', 'Free Version Available']","['Protocol Development', 'Study Selection', 'Quality Assessment', 'Data Extraction', 'Automated Analysis', 'Report Write Up']",45.0,200
37,NAILS (Network Analysis Interface for Literature Studies),"An open-source, extensible cloud-based literature analysis tool.",http://aknutas.github.io/nails/,"{'Cloud-Based Bibliometric Analysis Service for Systematic Mapping Studies': {'url': 'http://www.codecamp.fi/lib/exe/fetch.php/wiki/nails-compsystech2015-preprint.pdf', 'ss_id': '105410d8c76988e2de593efa69391119d6eb91a0', 'citation_count': 63}}",['Multidiscipline'],"['Visualization', 'Text Mining']",['Completely Free'],"['Automated Analysis', 'Text Analysis']",63.0,200
38,SWIFT-Review,"SWIFT-Review (SWIFT is an acronym for “Sciome Workbench for Interactive computer-Facilitated Text-mining”), is a freely available interactive workbench which provides numerous tools to assist with problem formulation and literature prioritization.",http://swift.sciome.com/swift-review/,"{'SWIFT-Review: a text-mining workbench for systematic review': {'url': 'https://systematicreviewsjournal.biomedcentral.com/articles/10.1186/s13643-016-0263-z', 'ss_id': 'c9250d3b43b6008715504b157c5f1eab60387450', 'citation_count': 65}}",['Healthcare'],"['Text Mining', 'Visual Text Mining', 'Machine Learning']",['Completely Free'],"['Study Selection', 'Text Analysis']",65.0,200
39,Eppi-Mapper,A tool that can be used to create visual maps of research evidence (for example evidence gap maps). The maps can be generated using a JSON file generated from EPPI-Reviewer.,https://eppi.ioe.ac.uk/cms/er4/EPPI-Mapper/tabid/3790/Default.aspx,{},['Multidiscipline'],['Visualization'],['Completely Free'],['Automated Analysis'],,200
40,PythonMeta,"Meta-Analysis package by and for Python language. This module was designed to perform some Evidence-based medicine (EBM) tasks, such as: combining effect measures (OR, RR, RD, MD, SMD), heterogeneity test (Q/Chi-squared test), subgroup analysis, plots (forest, funnel, etc.)",https://pypi.org/project/PythonMeta/,{},['Healthcare'],['Other'],['Completely Free'],['Meta Analysis'],,200
41,Spotfire-DXP,Tool for sumamarisation and visualization of tabular data.,http://spotfire.tibco.com/,"{""Data mining of cancer vaccine trials: a bird's-eye view"": {'url': 'http://www.immunome-research.com/content/4/1/7', 'ss_id': '1121f6eb23dc4bcfa7e16d35e29885cede83475b', 'citation_count': 21}}",['Healthcare'],"['Visualization', 'Data Mining', 'Visual Data Mining']","['Free Trial', 'Payment Required']","['Data Extraction', 'Automated Analysis']",21.0,200
42,metafor,An open-source add-on for conducting meta-analysis within the statistical software environment R.,http://www.metafor-project.org/doku.php,"{'Conducting Meta-Analyses in R with the metafor Package': {'url': 'http://brieger.esalq.usp.br/CRAN/web/packages/metafor/vignettes/metafor.pdf', 'ss_id': '51e6df35e40c04f348769e718f586ee2181a69b6', 'citation_count': 7328}}",['Multidiscipline'],['Other'],"['Completely Free', 'Free Version Available']",['Meta Analysis'],7328.0,200
43,Science of Science (Sci2) Tool,"A modular toolset specifically designed for the study of science. It supports the temporal, geospatial, topical, and network analysis and visualization of scholarly datasets at the micro (individual), meso (local), and macro (global) levels.  In the context of systematic review, Sci2 can be used to scope research topic areas by conducting co-word and clustering analyses on journal articles.",https://sci2.cns.iu.edu/user/index.php,"{'Evaluation of research topic evolution in psychiatry using co-word analysis': {'url': 'http://journals.lww.com/md-journal/Pages/ArticleViewer.aspx?year=2017&issue=06230&article=00082&type=Fulltext', 'ss_id': '8c0d1c9dccdb6c0551704df5caf850a8f479896d', 'citation_count': 12}}",['Healthcare'],"['Visualization', 'Text Mining', 'Visual Text Mining']",['Completely Free'],['Text Analysis'],12.0,200
44,NetConfer,"NetConfer is a graphical user interface-based web application which implements multiple network comparison methodologies and presents them in the form of organized analysis workflows. Dedicated comparative visualization modules are provided to the end-users for obtaining easy to comprehend, insightful, and meaningful comparisons of various biological networks.  NetConfer was developed keeping in mind the requirements of researchers working in the field of biological data analysis with limited programming expertise. It is also expected to be useful for advanced users from biological as well as other domains (working with association networks), benefiting from provided ready-made workflows, as they allow users to focus directly on the results without worrying about the implementation. While the web version allows using this application without installation and dependency requirements, a stand-alone version has also been supplemented to accommodate the offline requirement of processing large networks.",https://web.rniapps.net/crossnet/,"{'NetConfer - a web application for comparative analysis of multiple biological networks': {'url': 'https://bmcbiol.biomedcentral.com/articles/10.1186/s12915-020-00781-9', 'ss_id': 'f0bc1f8f897ed7df5bc1a93d6f710f9294efccd3', 'citation_count': 4}}",['Healthcare'],['Visualization'],['Completely Free'],['Automated Analysis'],4.0,200
45,Import.io,Import.io is a tool to extract data from web pages. In the context of systematic review it has been used to download citations from websites to increase transparency and reproducibility of grey literature searching.,https://www.import.io/,"{'A rapid method to increase transparency and efficiency in web-based searches': {'url': 'https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0079-2', 'ss_id': 'b642532182b2262f4aacc63bc93cf044ec459d16', 'citation_count': 35}}",['Healthcare'],"['Search Tool', 'Data Mining', 'Reference Management']","['Free Version Available', 'Free Trial', 'Payment Required']","['Automated Search', 'Document Management']",35.0,403
46,Researchr,A web application for searching and managaging bibliographic data.,https://researchr.org/publication/Visser2010,"{'Performing Systematic Literature Reviews with Researchr: Tool Demonstration': {'url': 'http://repository.tudelft.nl/assets/uuid:22b480a7-d09e-4ae6-abe7-9a5769e03c2b/TUD-SERG-2010-10.pdf', 'ss_id': '9dad1cbe9fc154bcf7f74e7ff94dc17d463f81e8', 'citation_count': 2}}",['Software Engineering'],['Search Tool'],"['Completely Free', 'Free Version Available']","['Automated Search', 'Text Analysis', 'Document Management']",2.0,200
47,Citavi,A commercial reference management tool with knowledge management facilities.,http://www.citavi.com/en/features.html,{},['Multidiscipline'],['Reference Management'],['Free Version Available'],"['Automated Search', 'Collaboration', 'Document Management']",,404
48,SWIFT-Active Screener,"SWIFT-Active Screener is a web-based, collaborative systematic review software application. Active Screener was designed to be easy-to-use, incorporating a simple, but powerful, graphical user interface with rich project status updates. What makes Active Screener special, however, is its behind-the-scenes application of state-of-the-art statistical models designed to save screeners time and effort by automatically prioritizing articles as they are reviewed, using user feedback to push the most relevant articles to the top of the list.",https://www.sciome.com/swift-activescreener/,{},['Multidiscipline'],"['Text Mining', 'Machine Learning']",['Free Trial'],"['Automated Search', 'Study Selection']",,200
49,MetaLight,"Tool for performing, teaching and learning meta-analysis.",http://eppi.ioe.ac.uk/cms/Default.aspx?tabid=3086,"{'Teaching meta-analysis using MetaLight': {'url': 'http://www.biomedcentral.com/1756-0500/5/571', 'ss_id': 'c09d221657ff45bba5f703fbda1be11464a09e0c', 'citation_count': 7}}",['Multidiscipline'],['Other'],"['Completely Free', 'Free Version Available']",['Meta Analysis'],7.0,200
50,Voyant Tools,"Voyant Tools is an open-source, web-based application for performing text analysis. It supports scholarly reading and interpretation of texts or corpus, particularly by scholars in the digital humanities, but also by students and the general public. It can be used to analyze online texts or those uploaded by users.",https://voyant-tools.org/,{},['Multidiscipline'],['Text Mining'],['Completely Free'],['Text Analysis'],,200
51,MetaGenyo,MetaGenyo is software which has been designed to perform meta-analysis of genetic association studies.,http://bioinfo.genyo.es/metagenyo/,{},['Healthcare'],['Other'],['Completely Free'],['Meta Analysis'],,200
52,SRDB.PRO,Commercial software for managing and aiding systematic reviews.,https://www.srdb.pro/default,{},['Multidiscipline'],['Whole Process'],"['Free Trial', 'Payment Required']","['Protocol Development', 'Automated Search', 'Study Selection', 'Quality Assessment', 'Data Extraction', 'Automated Analysis', 'Text Analysis', 'Report Write Up', 'Collaboration', 'Document Management']",,200
53,Paperpile,Web-based reference management system built for Chrome and Google Apps,https://paperpile.com/welcome,{},['Multidiscipline'],['Reference Management'],['Free Trial'],['Document Management'],,200
54,Wikindx,An online bibliographic management and article authoring system designed either for single use or multi-user collaboration.,http://wikindx.sourceforge.net/index.html,"{'From Tailored Databases to Wikis: Using Emerging Technologies to Work Together More Efficiently': {'url': 'http://ijikm.org/Volume3/IJIKMv3p103-111Regolini360.pdf', 'ss_id': 'dbfae30578eb4fe6542e7c7238b218dbb2486442', 'citation_count': 3}}",['Multidiscipline'],['Reference Management'],"['Completely Free', 'Free Version Available']","['Report Write Up', 'Collaboration', 'Document Management']",3.0,200
55,Bebop,"PHP based web bibliography management system, which provides a web interface to a list of publications stored in a BibTex file.",http://people.alari.ch/derino/Software/Bebop/index.php,{},['Multidiscipline'],['Reference Management'],"['Completely Free', 'Free Version Available']",['Document Management'],,200
56,Mapping MEDLINE,Mapping MEDLINE searches PubMed and displays search results by country on a geographical map,https://esperr.github.io/mapping-medline/,{},['Healthcare'],"['Visualization', 'Search Tool']",['Completely Free'],"['Protocol Development', 'Automated Search']",,200
57,RAx,RAx is your personalized AI-powered research assistant. It adapts to your changing needs as you move through various stages of your research project’s life-cycle.,https://raxter.io,{},['Multidiscipline'],"['Visualization', 'Text Mining', 'Search Tool', 'Machine Learning', 'Reference Management', 'Other']","['Free Trial', 'Payment Required']","['Automated Search', 'Data Extraction', 'Text Analysis', 'Report Write Up', 'Collaboration', 'Document Management']",,200
58,EndNote,Reference management software used to manage and share bibliographies.,http://endnote.com/,{},['Multidiscipline'],['Reference Management'],"['Free Trial', 'Payment Required']","['Collaboration', 'Document Management']",,200
